,all-1,all-2,all-3,mLB-1,mLB-2,mLB-3,mLC-1,mLC-2,mLC-3,mLLm1-1,mLLm1-2,mLLm1-3,mLLm2-1,mLLm2-2,mLLm2-3,mST-1,mST-2,mST-3
gene-QMZ82_RS08205,421.1715456,360.0938859,326.3279367,377.7652292,231.9784218,327.5574327,692.6325953,447.0656036,695.5059477,193.1923629,209.1730723,195.2974604,0,0,0,675.8545142,716.3126915,744.0024334
gene-QMZ82_RS08210,58.62633783,63.18508918,54.02915794,38.14466604,40.15378344,54.05826802,71.92822357,37.56057016,112.3028335,99.58575611,107.7445393,103.5018673,0,0,0,50.54690194,87.11102486,61.8714164
gene-QMZ82_RS08215,117.4365226,144.978383,122.6449969,104.6559835,66.89326071,76.10822925,138.1002754,121.0938797,170.930909,127.1966828,137.9613834,126.9452669,0,0,0,128.9370241,151.6217067,103.5484614
gene-QMZ82_RS08220,93.92771724,103.0164318,91.94916361,81.741779,62.82790547,82.729091,150.8665726,124.52074,164.8896123,83.95487341,86.97297232,84.35065439,0,0,0,277.945992,254.4474579,265.6370749
gene-QMZ82_RS08225,223.7801592,317.3758368,324.8476984,248.390431,113.3592914,109.5123965,354.9433339,173.76354,298.2065691,349.0804414,330.5665041,304.9392009,0,0,0,283.8387849,239.5681249,237.9729483
gene-QMZ82_RS08230,375.460983,447.866989,391.8847452,350.4601605,352.3299517,325.1218635,612.461981,362.4742228,650.444999,149.3717784,179.467739,222.2233998,0,0,0,703.4968898,644.5278574,635.5295609
gene-QMZ82_RS08235,89.31161147,55.97351913,67.44622715,48.66232998,26.41146094,28.06367987,120.5872215,71.04067856,155.1513268,9.270451283,9.160466907,0,0,0,0,149.4584328,140.9491105,78.21902288
gene-QMZ82_RS08240,30.10205405,38.98445495,38.71339727,82.44156554,35.81443586,49.14899742,58.34659554,49.52032192,62.3093517,79.02679782,97.61153261,70.92111147,0,0,0,58.05572686,41.52992371,51.07782336
gene-QMZ82_RS08245,1228.768111,1293.519884,1101.144437,1099.116202,711.3599231,921.9823886,2423.987679,1482.461534,1986.271734,226.2197274,211.5607273,194.7708605,0,0,0,1646.71057,2156.495143,1856.172371
gene-QMZ82_RS08250,3.530852909,0.328512753,0.527795908,0,0.885776181,0.898406333,0.307711037,0,0.313998171,0,1.075269253,0,0,0,0,0,0,0
gene-QMZ82_RS08255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-QMZ82_RS08260,13877.65309,13227.04526,11411.73773,9662.573913,15002.05628,15457.36732,22604.74713,16162.34329,21853.39441,10717.06941,11989.38254,12656.42948,0,0,0,34108.63605,36366.50797,30494.2336
gene-QMZ82_RS08265,476.4086177,456.4581277,394.8851699,368.3197687,274.6791937,352.5932077,683.397494,453.6975574,706.0158154,311.7343751,297.4505388,261.2678122,0,0,0,772.5552889,799.3397372,786.36191
gene-QMZ82_RS08270,12.43883187,21.71304818,20.73894492,24.78734656,10.83397094,26.6501511,26.87665804,2.607809238,9.813303098,16.50902283,26.10105639,35.73201043,0,0,0,21.00317934,14.1438249,25.80424135
gene-QMZ82_RS08275,3.281623823,9.869777702,0,13.59110251,12.16081317,9.932441648,5.051710199,0,9.436221871,19.63154389,23.70944376,32.24201714,0,0,0,19.47719995,21.32562168,4.069689749
gene-QMZ82_RS08280,12.04818219,5.37919871,6.948921373,13.30935521,6.620472875,13.40724316,17.23120145,13.02485303,11.23838841,8.081931887,18.32093381,25.09680821,0,0,0,3.650561946,13.94997718,0
gene-QMZ82_RS08285,9.987535047,9.389106434,20.11299677,15.87194275,12.65802736,21.39752717,21.98644992,7.944333947,25.42709916,18.14217348,56.34179646,16.41817002,0,0,0,52.99444037,86.89335844,73.80343288
gene-QMZ82_RS08290,197.5537338,297.209006,255.147306,246.3001068,203.3731885,200.2737996,363.2408041,121.3498214,293.7783402,333.7924307,370.249417,353.96082,0,0,0,310.3025714,316.6873089,150.0558475
gene-QMZ82_RS08295,414.14043,389.2668717,337.6433464,357.5429451,316.0264247,343.6216341,340.4670262,259.494192,209.2282167,459.7090354,599.1712726,496.0979581,0,0,0,413.1857102,407.2514231,332.2488652
